State,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Vehicle theft
NORTH CAROLINA,2015,4763826,4493884,269942,5.666495796,10042802,34852,517,2684,8825,22826,276183,74841,187907,13435
ALABAMA,2011,2202341,1991382,210959,9.578852684,4802740,20174,301,1371,4910,13592,173190,51117,111411,10662
MINNESOTA,2014,2979803,2852487,127316,4.272631446,5457173,12505,88,2001,3687,6729,125377,20773,96237,8367
NEVADA,2001,1113533,1055771,57762,5.1872733,2106074,12359,180,883,4932,6364,77486,17711,45073,14702
MINNESOTA,2013,2961728,2812453,149275,5.040131977,5420380,12705,114,2008,3674,6909,131195,22713,100516,7966
NEW YORK,2010,9630307,8790613,839694,8.719285896,19378102,75977,866,2771,28473,43867,376161,64973,290755,20433
IOWA,2013,1676575,1597143,79432,4.737754052,3090416,8388,43,1083,939,6323,67800,15868,47686,4246
TENNESSEE,2012,3096321,2849727,246594,7.964096746,6456243,41550,388,2032,8169,30961,217664,56181,148503,12980
MONTANA,2009,502602,466780,35822,7.127309481,974989,2473,28,294,216,1935,24024,3386,19182,1456
NEW HAMPSHIRE,2012,740798,700448,40350,5.44682896,1320718,2481,15,449,472,1545,30693,5444,24226,1023
NEW JERSEY,2013,4528021,4147661,380360,8.40013772,8899339,25674,401,1120,12082,12071,167556,35873,117936,13747
ARIZONA,2017,3240111,3079700,160411,4.95078718,7016270,35644,416,3581,7440,24207,204515,37627,147830,19058
ILLINOIS,2003,6310532,5885145,425387,6.740905521,12653544,70456,896,4167,23809,41584,415593,78288,295541,41764
KANSAS,2010,1500470,1396175,104295,6.950822076,2853118,10531,100,1107,1544,7780,89015,19404,63602,6009
IDAHO,2008,759678,721828,37850,4.982374111,1523816,3483,23,551,241,2668,32019,6701,23650,1668
WISCONSIN,2005,3029663,2904685,124978,4.125145272,5536201,13371,194,1142,4550,7485,147275,24406,110323,12546
NEW YORK,2008,9641103,9121271,519832,5.391831204,19490297,77585,836,2801,31778,42170,388533,65735,297684,25114
MISSISSIPPI,2016,1271842,1196246,75596,5.943820066,2988726,8383,238,1277,2397,4471,82732,23354,55054,4324
DISTRICT OF COLUMBIA,2001,311232,291080,20152,6.474912605,571822,9931,232,188,3943,5568,34154,5011,21473,7670
VERMONT,2000,334033,324664,9369,2.804812698,608827,691,9,140,117,425,17494,3501,13184,809
NORTH CAROLINA,2005,4348840,4105118,243722,5.604299077,8683242,40650,585,2302,12635,25128,353855,104298,221091,28466
TENNESSEE,2019,3335279,3223669,111610,3.346346737,6829174,40647,498,2813,6150,31186,181153,29869,132104,19180
COLORADO,2007,2687746,2588339,99407,3.698526572,4861515,16906,153,1998,3453,11302,146141,28751,100598,16792
TENNESSEE,2016,3136405,2987681,148724,4.7418621,6651194,42097,486,2714,7813,31084,189835,40312,134404,15119
TENNESSEE,2002,2898959,2750430,148529,5.123528825,5797289,41562,420,2290,9413,29439,249399,61248,161610,26541
NEW MEXICO,2013,929411,865209,64202,6.90781581,2085287,12782,125,1465,1810,9382,77256,21476,49875,5905
VERMONT,2013,350177,334684,15493,4.42433398,626630,759,10,130,73,546,13875,3313,10228,334
LOUISIANA,2017,2108497,2000494,108003,5.122274303,4684333,26092,582,1867,5358,18285,157712,34265,112485,10962
RHODE ISLAND,2007,571085,541955,29130,5.100816866,1057832,2404,19,256,751,1378,27743,5236,19281,3226
NEW JERSEY,2008,4495940,4251458,244482,5.437839473,8682661,28351,376,1122,12701,14152,199126,40401,138545,20180
OREGON,2015,1979479,1871287,108192,5.465680616,4028977,10468,99,1593,2146,6630,118719,18336,89836,10547
WEST VIRGINIA,2000,799088,754460,44628,5.584866748,1808344,5723,46,331,749,4597,41344,9890,28139,3315
NEBRASKA,2010,992023,945203,46820,4.719648637,1826341,5104,54,672,1025,3353,48821,8326,36881,3614
ALABAMA,2007,2180457,2092037,88420,4.055113217,4627851,20732,412,1545,7398,11377,183798,45331,124237,14230
NEW JERSEY,2005,4387305,4192398,194907,4.442522232,8717925,30919,417,1208,13215,16079,203391,38980,136728,27683
KANSAS,2008,1493365,1425024,68341,4.576309208,2802134,11505,113,1190,1684,8518,94635,19612,67628,7395
VIRGINIA,2013,4238394,4002067,236327,5.575861989,8260405,16205,316,2262,4565,9062,170654,26640,135478,8536
NEW JERSEY,2012,4576285,4147221,429064,9.375814662,8864590,25727,388,1035,11385,12919,181481,42338,122662,16481
WASHINGTON,2007,3401406,3244796,156610,4.604272469,6468424,21546,173,2629,6053,12691,260729,52704,170403,37622
CALIFORNIA,2000,16837548,16011625,825923,4.905245111,33871648,210531,2079,9785,60249,138418,1056183,222293,651855,182035
INDIANA,2017,3333704,3217052,116652,3.499170892,6666818,26598,397,2625,6600,16976,161132,30140,115591,15401
LOUISIANA,2015,2150066,2015088,134978,6.277853796,4670724,25208,481,1723,5550,17454,156629,35453,111435,9741
MARYLAND,2014,3125018,2945911,179107,5.731390987,5976407,26661,365,1619,9544,15133,149859,28012,108745,13102
MASSACHUSETTS,2003,3419000,3223297,195703,5.723983621,6433422,30196,142,1798,7985,20271,164018,34722,103790,25506
CONNECTICUT,2009,1888385,1731366,157019,8.314988734,3518288,10508,107,651,3990,5760,82181,15073,59632,7476
VERMONT,2018,355347,346556,8791,2.473919859,626299,1077,10,287,70,710,8036,1467,6316,253
WISCONSIN,2013,3077806,2871987,205819,6.687198608,5742713,15961,162,1687,4834,9278,125688,24347,93953,7388
ARIZONA,2010,3096319,2777405,318914,10.29977854,6392017,26085,409,2165,6937,16574,225893,50771,153614,21508
WISCONSIN,2010,3082942,2820622,262320,8.508755598,5686986,14142,155,1187,4504,8296,142612,26566,107908,8138
DELAWARE,2013,443550,414215,29335,6.613685041,925749,4549,39,380,1226,2904,28379,6131,20916,1332
MARYLAND,2013,3128911,2924630,204281,6.52882105,5928814,28089,381,1532,10048,16128,157913,31949,112546,13418
WISCONSIN,2009,3112497,2833293,279204,8.970418285,5654774,14533,144,1108,4850,8431,147486,26740,111820,8926
DELAWARE,2018,480370,462545,17825,3.71068135,967171,4097,48,338,866,2845,22481,3158,17847,1476
ALASKA,2003,332496,306966,25530,7.678287859,648818,3850,39,600,444,2767,24280,3855,17977,2448
COLORADO,2012,2749201,2529789,219412,7.980937007,5187582,16023,162,2113,3395,10353,139270,26157,101021,12092
VERMONT,2002,343233,330074,13159,3.833838821,616592,658,13,126,77,442,14942,3489,10684,769
MINNESOTA,2003,2893378,2754859,138519,4.787449134,5059375,13288,128,2083,3904,7173,157691,27696,116236,13759
NORTH DAKOTA,2004,353659,341698,11961,3.38207143,634366,504,9,159,39,297,12158,1910,9342,906
OKLAHOMA,2005,1709298,1635010,74288,4.346111679,3547884,18044,187,1481,3230,13146,143406,35692,93814,13900
MISSOURI,2001,2987924,2853166,134758,4.510087941,5629707,30472,372,1383,7771,20946,238411,42977,167420,28014
OREGON,2009,1968374,1755161,213213,10.83193539,3825657,9744,85,1168,2461,6030,113511,19377,84265,9869
MARYLAND,2009,3049871,2819399,230472,7.556778631,5699478,33623,438,1156,12007,20022,182422,37032,125771,19619
MAINE,2009,697713,639124,58589,8.397292296,1318301,1579,26,376,399,778,31685,6728,23936,1021
NEW MEXICO,2019,956099,908705,47394,4.957018049,2096829,17450,181,1288,2341,13640,65269,14610,41702,8957
ARKANSAS,2011,1357823,1250432,107391,7.909057366,2937979,14129,162,1213,2428,10326,110295,34471,70012,5812
TEXAS,2013,12832057,12022275,809782,6.31061723,26448193,107998,1139,9766,31801,65292,861734,190898,605091,65745
WASHINGTON,2019,3933882,3766966,166916,4.243035251,7614893,22377,198,3332,5147,13700,204224,34540,145282,24402
NORTH CAROLINA,2010,4633703,4135786,497917,10.74555275,9535483,34653,476,2013,9610,22554,328719,102690,207719,18310
IDAHO,2001,678281,643914,34367,5.066779108,1321006,3211,30,425,245,2511,38181,7507,28285,2389
PENNSYLVANIA,2011,6381748,5886745,495003,7.756542565,12742886,45240,637,3324,16131,25148,283179,57850,208485,16844
NORTH CAROLINA,2013,4701398,4336385,365013,7.763924688,9848060,33700,469,2369,9349,21513,308049,90702,202741,14606
SOUTH CAROLINA,2018,2282028,2205359,76669,3.359687085,5084127,24825,392,2434,3553,18446,153421,29473,109616,14332
RHODE ISLAND,2016,553234,524441,28793,5.204488517,1056426,2524,29,442,540,1513,20058,3788,14674,1596
INDIANA,2003,3178569,3011513,167056,5.255698398,6195643,21856,341,1720,6403,13392,208034,41581,145685,20768
PENNSYLVANIA,2001,6178910,5882822,296088,4.791913137,12287150,50432,651,3467,17500,28814,313408,54345,223350,35713
OREGON,2017,2075687,1991506,84181,4.055572926,4142776,11674,104,1999,2432,7139,123722,17705,88877,17140
DISTRICT OF COLUMBIA,2002,308760,287196,21564,6.984065293,570898,9322,264,262,3834,4962,36477,5170,21708,9599
TEXAS,2012,12639479,11794983,844496,6.681414637,26059203,106476,1144,7711,30382,67239,876059,204810,606253,64996
WISCONSIN,2015,3084210,2947053,137157,4.447070725,5771337,17647,240,1780,5232,10395,113924,19554,83385,10985
NEW JERSEY,2017,4614956,4406152,208804,4.524506843,9005644,20604,324,1505,7895,10880,140086,23891,104025,12170
NORTH DAKOTA,2001,342526,332808,9718,2.837156887,634448,505,7,164,60,274,14834,2165,11583,1086
MISSOURI,2017,3053541,2939315,114226,3.740771779,6113532,32420,600,2729,6351,22740,173253,30081,123251,19921
DISTRICT OF COLUMBIA,2009,338113,304277,33836,10.00730525,599657,8071,144,150,4389,3388,28456,3696,19228,5532
WEST VIRGINIA,2013,799484,745852,53632,6.708326871,1854304,5568,61,653,651,4203,39013,9674,27423,1916
NEBRASKA,2014,1012734,979731,33003,3.25880241,1881503,5275,54,862,1043,3316,47479,7950,35074,4455
VIRGINIA,2003,3772558,3609341,163217,4.326427851,7386330,20375,413,1773,6672,11517,199731,28919,152898,17914
ILLINOIS,2008,6652948,6222182,430766,6.474813872,12901563,67780,790,4118,24054,38818,378355,78968,266815,32572
NORTH DAKOTA,2007,367564,356435,11129,3.027772034,639715,911,12,207,70,622,12088,2164,9010,914
NEW JERSEY,2000,4287640,4130824,156816,3.65739661,8414350,32298,289,1357,13553,17099,233637,43924,155562,34151
ALABAMA,2009,2156595,1938784,217811,10.09976375,4708708,21179,323,1504,6259,13093,177629,48837,117711,11081
ARIZONA,2013,3064554,2825341,239213,7.805801431,6626624,27599,357,3050,6702,17490,225243,48533,159272,17438
KANSAS,2004,1458923,1378359,80564,5.522155727,2735502,10245,123,1104,1813,7205,108694,19999,80260,8435
MISSISSIPPI,2014,1243941,1149280,94661,7.609766058,2994079,8338,258,1058,2430,4592,87462,24352,58591,4519
MONTANA,2002,466414,445125,21289,4.564399868,909453,3197,16,237,283,2661,28751,3289,23679,1783
MISSISSIPPI,2018,1268048,1205346,62702,4.944765498,2986530,6999,171,537,1595,4696,71766,20839,46627,4300
NEVADA,2005,1228452,1177590,50862,4.140332711,2414807,14654,206,1016,4702,8730,102424,23481,52012,26931
MISSOURI,2019,3074825,2975707,99118,3.223533047,6137428,30380,568,2917,4959,21936,161946,26414,114460,21072
OREGON,2013,1924696,1775142,149554,7.770266058,3930065,9984,80,1897,2397,5610,124737,20769,94106,9862
SOUTH DAKOTA,2009,441302,421122,20180,4.57283221,812383,1508,21,445,111,931,13968,2479,10676,813
FLORIDA,2008,9156464,8636213,520251,5.681789389,18328340,126265,1168,5972,36273,82852,758934,188467,506958,63509
CONNECTICUT,2003,1785735,1688380,97355,5.451816759,3483372,10736,104,652,4146,5834,90801,15609,64166,11026
MINNESOTA,2004,2893486,2760750,132736,4.587407715,5100958,13751,113,2123,4070,7445,155019,28048,113453,13518
NEW JERSEY,2016,4492824,4271202,221622,4.932799504,8944469,21914,372,1453,8984,11105,138152,25284,101540,11328
ARIZONA,2014,3118444,2906194,212250,6.806279029,6731484,26916,319,3378,6249,16970,215240,43562,154091,17587
OKLAHOMA,2019,1840223,1782412,57811,3.141521435,3956971,17086,266,2268,2369,12183,112587,26577,72632,13378
ARIZONA,2015,3184449,2990548,193901,6.088996872,6828065,28012,309,3108,6360,18235,207107,37957,152365,16785
OKLAHOMA,2007,1723269,1654797,68472,3.973378503,3617316,18072,222,1559,3373,12918,127562,34121,79982,13459
WASHINGTON,2002,3101002,2881328,219674,7.083968343,6068996,20964,184,2734,5797,12249,288967,54948,193526,40493
ALABAMA,2000,2147180,2047733,99447,4.631516687,4447100,21620,329,1482,5702,14107,180539,40331,127399,12809
LOUISIANA,2007,2026801,1943653,83148,4.102425448,4293204,31317,608,1393,6083,23233,174991,44602,115209,15180
DELAWARE,2016,468808,447640,21168,4.515281309,952065,4844,56,308,1359,3121,26334,5023,19791,1520
SOUTH DAKOTA,2013,447478,430835,16643,3.719288993,844877,2674,20,499,159,1996,16177,3372,11867,938
INDIANA,2005,3202221,3029264,172957,5.401157509,6271973,20302,356,1856,6809,11281,216778,43756,151278,21744
ILLINOIS,2019,6550309,6289519,260790,3.981338896,12671821,51561,832,6078,12464,32187,233984,34433,180776,18775
CALIFORNIA,2005,17537941,16593626,944315,5.384412001,36132147,190178,2503,9392,63622,114661,1200531,250521,692467,257543
MONTANA,2016,521742,499269,22473,4.30730131,1042520,3840,36,578,266,2960,27976,3934,21299,2743
UTAH,2005,1280655,1228825,51830,4.047147749,2469585,5612,56,920,1095,3541,95546,14971,72082,8493
NORTH CAROLINA,2011,4657881,4180077,477804,10.25796924,9656401,33774,508,1995,9550,21721,340562,106144,217386,17032
WISCONSIN,2016,3110468,2988743,121725,3.913398241,5778708,17679,229,1979,4706,10765,111720,19425,82337,9958
CALIFORNIA,2019,19413249,18617933,795316,4.09676917,39512223,174331,1690,14799,52301,105541,921114,152555,626802,141757
MAINE,2012,700737,650319,50418,7.194996126,1329192,1631,25,372,423,811,33361,7461,24905,995
MISSOURI,2012,3004354,2789028,215326,7.167131437,6021988,27155,389,1511,5782,19473,199590,42466,140816,16308
ARKANSAS,2001,1261431,1201321,60110,4.765222989,2692090,12190,148,892,2181,8969,99106,22196,69590,7320
CONNECTICUT,2001,1749199,1698596,50603,2.892924133,3425074,11492,105,639,4183,6565,95299,17159,65762,12378
MONTANA,2013,511203,483801,27402,5.360297181,1015165,2567,22,410,204,1931,25953,4064,20039,1850
OREGON,2019,2094783,2017199,77584,3.703677183,4217737,11995,116,1778,2276,7825,115170,14724,85261,15185
NEW MEXICO,2017,948581,890989,57592,6.071384521,2088070,16359,148,1259,3722,11230,82306,17917,52617,11772
CONNECTICUT,2012,1887549,1729690,157859,8.363173618,3590347,10160,146,919,3687,5408,76834,14711,55674,6449
KANSAS,2002,1419340,1347168,72172,5.084898615,2715884,10229,78,1035,2165,6951,100768,19679,73877,7212
MISSOURI,2007,3058128,2902512,155616,5.088603224,5878415,29682,385,1714,7165,20418,219759,43446,152529,23784
MICHIGAN,2007,4994856,4640181,354675,7.100805309,10071822,53988,676,4579,13414,35319,308775,75428,191196,42151
GEORGIA,2013,4750063,4363301,386762,8.142249903,9992167,36541,556,2582,12488,20915,334399,82258,225315,26826
NEBRASKA,2003,967048,928917,38131,3.943030749,1739291,5026,56,495,1162,3313,64552,10072,48356,6124
ALABAMA,2005,2140361,2045235,95126,4.444390456,4557808,19678,374,1564,6447,11293,177393,43473,120780,13140
UTAH,2001,1162874,1112047,50827,4.370808875,2269789,5314,67,896,1197,3154,90993,13804,70676,6513
MISSOURI,2002,2981106,2823365,157741,5.291358308,5672579,30557,331,1465,7024,21737,230520,42721,159921,27878
MISSISSIPPI,2007,1293341,1213554,79787,6.169061369,2918785,8502,208,1040,2866,4388,93424,27959,58084,7381
FLORIDA,2004,8347318,8033589,313729,3.758440735,17397161,123754,946,6612,29997,86199,727141,166332,482484,78325
CALIFORNIA,2018,19289508,18469911,819597,4.248926411,39557045,176982,1739,15505,54326,105412,941618,164632,621775,155211
CALIFORNIA,2004,17374508,16293557,1080951,6.22147689,35893799,198070,2392,9615,61768,124295,1227194,245903,728687,252604
HAWAII,2010,648549,604210,44339,6.836646113,1360301,3574,24,365,1054,2131,45083,8663,31320,5100
ILLINOIS,2007,6639205,6301410,337795,5.087883263,12852548,68528,752,4103,23100,40573,377322,75524,267911,33887
MISSISSIPPI,2002,1290798,1207800,82998,6.429975875,2871782,9858,264,1127,3356,5111,109584,29593,70468,9523
MAINE,2014,698038,659008,39030,5.591386142,1330089,1700,21,485,304,890,26421,5030,20592,799
MICHIGAN,2016,4848646,4606954,241692,4.98473182,9928300,45572,598,7125,7120,30729,189620,39568,129876,20176
KENTUCKY,2003,1965898,1844388,121510,6.180890362,4117827,10777,188,1054,3196,6339,110418,27656,73396,9366
TEXAS,2011,12499615,11498881,1000734,8.006118588,25674681,104873,1126,7439,28395,67913,891499,215223,612938,63338
IOWA,2010,1674418,1571962,102456,6.11890221,3046355,8333,39,836,1011,6447,68315,16656,47883,3776
TEXAS,2014,13006225,12333090,673135,5.175483278,26956958,109414,1184,11393,31181,65656,813934,169234,576154,68546
COLORADO,2003,2490398,2338430,151968,6.102157165,4550688,15706,177,1893,3735,9901,179340,32370,124271,22699
NEW HAMPSHIRE,2007,737925,712024,25901,3.509977301,1315828,1807,15,333,432,1027,24896,4986,18611,1299
NORTH DAKOTA,2019,413857,404799,9058,2.188678698,762062,2169,24,437,179,1529,15066,2608,10666,1792
VIRGINIA,2004,3814543,3658425,156118,4.092705207,7459827,20559,391,1766,6906,11496,199668,28793,153464,17411
RHODE ISLAND,2000,542518,520815,21703,4.000420263,1048319,3121,45,412,922,1742,33323,6620,22038,4665
VERMONT,2019,353503,346015,7488,2.118228134,623989,1262,11,278,71,902,8888,1275,7315,298
ALASKA,2010,361708,332185,29523,8.162108662,710231,4537,31,533,594,3379,20259,3105,15535,1619
ARIZONA,2018,3325720,3166012,159708,4.802208244,7171646,34058,369,3638,6523,23528,191974,31532,141303,19139
DELAWARE,2003,415889,397309,18580,4.467538213,817491,5379,24,353,1389,3613,27667,5966,18821,2880
UTAH,2019,1618701,1577593,41108,2.539567221,3205958,7553,72,1822,1125,4534,69546,8871,53937,6738
MAINE,2011,698983,644969,54014,7.727512686,1328188,1636,26,393,369,848,33809,7854,24877,1078
ILLINOIS,2010,6612443,5918209,694234,10.49890336,12830632,55835,706,3033,20054,32042,343989,75399,239794,28796
ARKANSAS,2012,1349888,1251879,98009,7.260528281,2949131,13835,173,1247,2320,10095,107941,31890,70327,5724
LOUISIANA,2016,2123693,1994637,129056,6.076961218,4681666,26502,554,1816,5576,18556,154386,34667,109380,10339
ARIZONA,2001,2593663,2470816,122847,4.73642875,5307331,28675,400,1518,8868,17889,293874,54821,186850,52203
WYOMING,2011,302933,284274,18659,6.159447799,568158,1246,18,146,71,1011,12877,1863,10493,521
KENTUCKY,2005,1991733,1874750,116983,5.873427814,4173405,11134,190,1421,3690,5833,105608,26458,70354,8796
MASSACHUSETTS,2013,3516692,3283146,233546,6.641070643,6692824,27667,137,2718,6706,18106,137285,30735,97428,9122
KANSAS,2001,1398526,1338774,59752,4.27249833,2694641,10909,92,945,2423,7449,105537,20514,77038,7985
ARIZONA,2008,3095991,2916697,179294,5.791166706,6500180,29059,407,1673,9697,17282,278920,56481,185221,37218
CALIFORNIA,2003,17271903,16081516,1190387,6.892043106,35484453,205551,2407,9994,63770,129380,1215086,242274,731486,241326
ARKANSAS,2014,1327962,1249765,78197,5.888496809,2966369,14243,165,1763,2050,10265,99018,24790,68627,5601
COLORADO,2011,2730263,2493472,236791,8.67282749,5116796,16383,149,2278,3306,10650,133361,25768,96546,11047
WISCONSIN,2004,3034620,2883573,151047,4.97746011,5509026,11548,154,1136,4067,6191,146710,23854,111482,11374
SOUTH DAKOTA,2010,443622,421817,21805,4.915220616,814180,2186,23,390,154,1619,15082,3181,11106,795
DISTRICT OF COLUMBIA,2017,393326,369388,23938,6.086045672,693972,6974,116,444,2623,3791,29729,1809,25333,2587
IDAHO,2007,755288,732153,23135,3.063069981,1499402,3589,49,578,233,2729,33685,6977,24482,2226
HAWAII,2001,607557,581379,26178,4.308731526,1224398,3117,32,409,1142,1534,62830,11162,44925,6743
KENTUCKY,2010,2065027,1852306,212721,10.30112439,4339367,10528,187,1381,3748,5212,110709,30311,74189,6209
MISSOURI,2011,3032972,2770666,262306,8.648480764,6010688,26889,366,1458,6269,18796,198882,44822,138743,15317
KANSAS,2005,1458772,1384659,74113,5.080506069,2744687,10634,102,1055,1793,7684,103941,18917,75702,9322
MARYLAND,2003,2881029,2742967,138062,4.792107264,5508909,38778,525,1358,13302,23593,209418,38641,134372,36405
VERMONT,2005,349520,337413,12107,3.463893339,623050,746,8,145,73,520,14210,3064,10505,641
OREGON,2010,1991751,1778035,213716,10.73005612,3831074,9655,91,1214,2390,5960,115428,19637,86879,8912
INDIANA,2012,3172561,2911927,260634,8.215255751,6537334,22602,310,1667,6598,14027,198032,47612,136759,13661
NORTH DAKOTA,2018,412073,402207,9866,2.394235973,760077,2133,18,397,158,1560,15507,2724,11008,1775
NORTH CAROLINA,2019,4993480,4801095,192385,3.852723952,10488084,38995,632,3247,7599,27517,247236,54447,174728,18061
LOUISIANA,2014,2141526,2007673,133853,6.250356055,4649676,23934,477,1375,5695,16387,160824,38337,112596,9891
TEXAS,2000,10388372,9932988,455384,4.383593502,20851820,113653,1238,7856,30257,74302,919658,188975,637522,93161
MONTANA,2011,501064,467785,33279,6.641666534,998199,2670,28,357,169,2116,23155,3390,18307,1458
DISTRICT OF COLUMBIA,2011,352193,316372,35821,10.17084383,617996,7429,108,173,4093,3055,29636,3850,21330,4456
HAWAII,2005,622530,607853,14677,2.357637383,1275194,3253,24,343,1001,1885,61115,9792,42188,9135
MISSOURI,2015,3057872,2901473,156399,5.114635276,6083672,30261,502,2553,6376,20830,173642,34006,122637,16999
NEBRASKA,2005,972766,935919,36847,3.787858539,1758787,5048,44,579,1040,3385,60207,9363,45277,5567
VERMONT,2010,359696,336925,22771,6.330623638,625741,815,7,132,74,602,14281,3366,10474,441
COLORADO,2013,2766149,2579573,186576,6.744972885,5268367,16226,178,2934,3151,9963,140057,25081,102443,12533
CALIFORNIA,2017,19185368,18258066,927302,4.833381356,39536653,177627,1830,14721,56622,104454,987114,176690,642033,168391
NORTH DAKOTA,2016,411783,399002,12781,3.103819245,757952,1903,15,342,181,1365,17402,3243,12195,1964
VERMONT,2003,346378,331240,15138,4.370369943,619107,682,14,121,60,487,13621,2958,10017,646
LOUISIANA,2004,2030424,1914522,115902,5.70826586,4515770,28844,574,1616,6564,20090,199153,45359,134080,19714
MISSISSIPPI,2010,1309139,1176944,132195,10.09785821,2967297,8003,208,927,2779,4089,88574,30444,52770,5360
COLORADO,2005,2572386,2442133,130253,5.063509131,4665177,18498,173,2026,3948,12351,188449,34746,127602,26101
IOWA,2018,1711823,1667823,44000,2.570359202,3156145,7893,54,976,932,5931,53385,11127,37571,4687
TENNESSEE,2005,2898504,2738231,160273,5.529507636,5962959,44891,432,2171,9974,32314,254948,61233,168637,25078
CONNECTICUT,2014,1889102,1764119,124983,6.616000618,3596677,8522,86,782,3159,4495,69070,11955,51005,6110
GEORGIA,2010,4709787,4207267,502520,10.66969695,9687653,39072,558,2093,12373,24048,352679,96723,225651,30305
KANSAS,2009,1512584,1408145,104439,6.904674385,2818747,11278,119,1096,1786,8277,90420,19469,64997,5954
MAINE,2015,687852,657547,30305,4.405744259,1329328,1729,23,474,311,921,24327,4684,18829,814
DELAWARE,2012,445963,414490,31473,7.057311929,917092,5020,57,243,1492,3228,30639,7371,21832,1436
SOUTH DAKOTA,2012,447072,428952,18120,4.053038437,833354,2682,25,585,158,1914,17168,3258,12845,1065
OHIO,2015,5710784,5427854,282930,4.954311002,11613423,33898,500,5149,12554,15695,300525,69303,213993,17229
DISTRICT OF COLUMBIA,2019,399857,377800,22057,5.516222049,705749,7403,166,345,2713,4179,30821,1843,26645,2333
COLORADO,2017,2963796,2885982,77814,2.625484345,5607154,20638,221,3858,3838,12721,151483,22813,106809,21861
IDAHO,2003,691704,653300,38404,5.552085863,1366332,3316,25,508,244,2539,39742,7791,29342,2609
MINNESOTA,2001,2847963,2740874,107089,3.760196323,4972294,13145,119,2236,3758,7032,165046,25496,124519,15031
ALASKA,2017,360591,337107,23484,6.512641746,739795,6133,62,863,951,4257,26204,4171,17775,4258
UTAH,2003,1197251,1130791,66460,5.551049863,2351467,5845,58,892,1255,3640,99362,16769,74829,7764
ILLINOIS,2015,6511808,6119941,391867,6.017791065,12859995,49354,744,4821,14910,28879,255729,46443,191634,17652
MISSISSIPPI,2004,1314989,1234122,80867,6.149633191,2902966,8568,227,1161,2503,4677,100980,27661,65440,7879
MASSACHUSETTS,2015,3589408,3417294,172114,4.795052555,6794422,26562,128,2075,5288,19071,114871,21890,84912,8069
IOWA,2008,1682223,1612462,69761,4.146953169,3002555,8520,76,888,1248,6308,72689,16450,51907,4332
HAWAII,2008,641525,615766,25759,4.0152761,1288198,3512,25,365,1086,2036,46004,9379,31492,5133
MISSISSIPPI,2005,1317414,1217367,100047,7.594195902,2921088,8131,214,1147,2405,4365,95231,26866,60873,7492
TEXAS,2017,13474010,12888029,585981,4.348972578,28304596,124238,1412,14470,32267,76089,725328,134066,523221,68041
NORTH CAROLINA,2000,4127483,3972819,154664,3.747174731,8049313,40051,560,2181,12595,24715,355921,97888,232767,25266
MARYLAND,2007,2989316,2877993,111323,3.724029176,5618344,36062,553,1179,13258,21072,192796,37095,127308,28393
DISTRICT OF COLUMBIA,2016,395124,370553,24571,6.218554175,681170,8214,139,532,3480,4063,32716,2361,27382,2973
IOWA,2011,1670062,1575769,94293,5.64607781,3062309,7826,46,834,825,6121,71361,17400,50025,3936
VERMONT,2014,348693,334740,13953,4.001514226,626562,622,10,110,70,432,9551,2034,7273,244
ILLINOIS,2016,6559053,6172680,386373,5.890682695,12801539,55854,1054,4908,17827,32065,262306,47989,194407,19910
MICHIGAN,2011,4668985,4201789,467196,10.00637183,9876187,43983,613,4347,10393,28630,257979,71596,160887,25496
NEBRASKA,2012,1012810,973448,39362,3.886415024,1855525,4814,53,711,1130,2920,51118,8735,38236,4147
HAWAII,2012,650415,611984,38431,5.908689068,1392313,3330,29,285,1040,1976,42817,7979,31233,3605
MAINE,2019,697789,677458,20331,2.913631485,1344212,1548,20,516,188,824,16743,2350,13667,726
ILLINOIS,2004,6348738,5955750,392988,6.190017607,12713634,69026,776,4216,22532,41502,405070,75944,288771,40355
ALASKA,2012,364155,337836,26319,7.227416897,731449,4412,30,583,630,3169,20037,2950,15565,1522
OHIO,2007,6017212,5679266,337946,5.616321978,11466917,39360,516,4452,18260,16132,396209,98508,263922,33779
UTAH,2012,1348559,1284151,64408,4.776060966,2855287,5876,50,943,1100,3783,85424,12943,66482,5999
WEST VIRGINIA,2004,789535,743993,45542,5.768205336,1815354,4924,68,320,768,3768,45497,10932,30826,3739
MISSISSIPPI,2013,1273061,1164832,108229,8.501477934,2991207,8214,195,930,2409,4680,81500,24995,52117,4388
MISSOURI,2005,3011102,2847799,163303,5.423363274,5800310,30477,402,1625,7196,21254,227809,42822,159288,25699
WYOMING,2004,274735,264188,10547,3.8389721,506529,1163,11,112,67,973,16889,2738,13352,799
CALIFORNIA,2009,18305953,16193125,2112828,11.54175366,36961664,174459,1972,8713,64093,99681,1009614,230137,615456,164021
MICHIGAN,2009,4860047,4221466,638581,13.13939968,9969727,49547,627,4514,12330,32076,282918,75815,177720,29383
INDIANA,2000,3125312,3030889,94423,3.02123436,6080485,21230,352,1759,6282,12837,206905,41108,144707,21090
NEW JERSEY,2014,4493895,4191318,302577,6.733067862,8938175,23346,349,1274,10498,11225,154993,31710,111578,11705
SOUTH DAKOTA,2007,436304,423915,12389,2.839533903,796214,1347,17,308,112,910,13156,2378,10043,735
